chembl_mol_id,smiles,activity_nM,toxicity,bioavailability,solubility,binding,molecular_weight,mw_daltons,alogp,tpsa,label,source,activity_type,target_id
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,0.3,0.6222,0.6222,1.0,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL136058,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,0.81,0.3,0.6222,0.6222,1.0,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,0.3,0.6222,0.6222,0.9954,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,0.3,0.6222,0.6222,0.9912,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,1.5,0.3,0.6222,0.6222,0.9804,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,0.3,0.6222,0.6222,0.9716,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,0.3,0.6222,0.6222,0.9503,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL139307,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.3,0.3,0.6222,0.6222,0.9424,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL51854,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,3.8,0.3,0.6222,0.6222,0.9356,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,0.3,0.6222,0.6222,0.9331,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL138691,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,0.3,0.6222,0.6222,0.9308,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,0.3,0.6222,0.6222,0.9274,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,0.3,0.6222,0.6222,0.9253,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.9,0.3,0.6222,0.6222,0.9143,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,0.3,0.6222,0.6222,0.9097,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,0.3,0.6222,0.6222,0.8843,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,0.3,0.6222,0.6222,0.8762,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,0.3,0.6222,0.6222,0.8727,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
CHEMBL298931,Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,17.0,0.3,0.6222,0.6222,0.8633,0.3333,400.0,2.0,80.0,1,ChEMBL,IC50,CHEMBL203
